districtId,district_name,Average_Age,Average_Household_Size
1001,"        Flensburg, Stadt",42.7,1.8
1002,"        Kiel, Landeshauptstadt",41.3,1.9
1003,"        Lübeck, Stadt",44.2,1.9
1004,"        Neumünster, Stadt",43.5,2
1051,        Kreis Dithmarschen,44.1,2.2
1053,        Kreis Herzogtum Lauenburg,43.6,2.3
1054,        Kreis Nordfriesland,43.8,2.2
1055,        Kreis Ostholstein,46.1,2.1
1056,        Kreis Pinneberg,43.6,2.2
1057,        Kreis Plön,45,2.3
1058,        Kreis Rendsburg-Eckernförde,43.5,2.3
1059,        Kreis Schleswig-Flensburg,43.5,2.3
1060,        Kreis Segeberg,43,2.3
1061,        Kreis Steinburg,43.6,2.2
1062,        Kreis Stormarn,43.9,2.3
2000,"        Hamburg, Freie und Hansestadt",41.9,1.9
3101,"        Braunschweig, Stadt",43,1.9
3102,"        Salzgitter, Stadt",44.6,2.1
3103,"        Wolfsburg, Stadt",44.2,2.1
3151,        Landkreis Gifhorn,41.9,2.5
3153,        Landkreis Goslar,46.6,2
3154,        Landkreis Helmstedt,45.1,2.2
3155,        Landkreis Northeim,45.4,2.3
3157,        Landkreis Peine,43.3,2.3
3158,        Landkreis Wolfenbüttel,44.4,2.2
3159,        Landkreis Göttingen,44.75,2.1
3241,        Landkreis Region Hannover,43.2,2
3251,        Landkreis Diepholz,43.6,2.4
3252,        Landkreis Hameln-Pyrmont,45.4,2.1
3254,        Landkreis Hildesheim,44,2.2
3255,        Landkreis Holzminden,45.5,2.3
3256,        Landkreis Nienburg (Weser),43.3,2.4
3257,        Landkreis Schaumburg,44.8,2.2
3351,        Landkreis Celle,43.7,2.3
3352,        Landkreis Cuxhaven,44.7,2.3
3353,        Landkreis Harburg,43.5,2.3
3354,        Landkreis Lüchow-Dannenberg,46.2,2.3
3355,        Landkreis Lüneburg,41.8,2.2
3356,        Landkreis Osterholz,43.8,2.3
3357,        Landkreis Rotenburg (Wümme),42.1,2.4
3358,        Landkreis Soltau-Fallingbostel,43.4,2.3
3359,        Landkreis Stade,42.4,2.3
3360,        Landkreis Uelzen,45.2,2.2
3361,        Landkreis Verden,43,2.3
3401,"        Delmenhorst, Stadt",43.6,2.1
3402,"        Emden, Stadt",42.5,2.1
3403,"        Oldenburg (Oldenburg), Stadt",41.8,2
3404,"        Osnabrück, Stadt",42.3,2
3405,"        Wilhelmshaven, Stadt",45.4,1.9
3451,        Landkreis Ammerland,43,2.3
3452,        Landkreis Aurich,43,2.3
3453,        Landkreis Cloppenburg,39.1,2.8
3454,        Landkreis Emsland,40.9,2.6
3455,        Landkreis Friesland,44.6,2.2
3456,        Landkreis Grafschaft Bentheim,41.8,2.5
3457,        Landkreis Leer,42.2,2.4
3458,        Landkreis Oldenburg,42.8,2.4
3459,        Landkreis Osnabrück,41.9,2.5
3460,        Landkreis Vechta,39.1,2.7
3461,        Landkreis Wesermarsch,43.8,2.2
3462,        Landkreis Wittmund,43.6,2.3
4011,"        Bremen, Stadt",43.2,2
4012,"        Bremerhaven, Stadt",43.8,1.9
5111,"        Düsseldorf, Stadt",42.9,1.9
5112,"        Duisburg, Stadt",43.2,2.1
5113,"        Essen, Stadt",44.1,1.9
5114,"        Krefeld, Stadt",43.7,2
5116,"        Mönchengladbach, Stadt",43.3,2.1
5117,"        Mülheim an der Ruhr, Stadt",45.3,2
5119,"        Oberhausen, Stadt",43.9,2
5120,"        Remscheid, Stadt",43.9,2.1
5122,"        Solingen, Stadt",43.5,2.1
5124,"        Wuppertal, Stadt",43.4,2
5154,        Kreis Kleve,42.5,2.3
5158,        Kreis Mettmann,44.6,2.1
5162,        Kreis Rhein-Kreis Neuss,43.5,2.2
