districtId,alpha_95PR,average_age,average_household_size,inhib_coef_april_01_14,mean_alpha_Mar_25_31,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,ruralness_index,socio_economic_status_index,cluster,total_population,population_60_plus,share_60_plus
1002,1.216898954703833,41.3,1.9,-0.0061016965277263645,1.051222100547332,KS Kiel,7.4,25.7,10.5,408.0,3129.0,1.3908333333333303,77.1,82.1,2496.2,35.6,3788.3,590.0,8.6,2049.0,65.0,93.2,34.4,38.4,67.1,-3.294831218212998,-0.18404981580389185,3.0,235782.0,24082.0,0.10213671951209198
1003,1.4184027777777777,44.2,1.9,0.01390628054119235,0.9225191774896797,KS Lübeck,9.9,29.3,10.6,403.0,2885.0,2.01333333333333,77.3,82.1,2327.3,46.9,2720.6,574.0,8.8,1001.0,62.0,80.2,47.3,39.2,75.5,-2.086368313544757,-0.9380414655499314,3.0,210305.0,25790.0,0.122631416276361
1004,1.3466666666666667,43.5,2.0,-0.011185338937439776,,"Neumünster, Stadt",7.4,33.9,11.1,306.0,2699.0,1.58833333333333,76.3,81.0,2295.7,46.8,2160.7,600.0,5.4,1083.0,55.4,87.4,39.9,42.5,81.7,-1.4761140010975722,-1.6239267050838346,3.0,77249.0,9497.0,0.122940102784502
1051,1.2693939393939395,44.1,2.2,-0.014053214870501297,1.0,Dithmarschen,9.8,31.5,8.0,111.0,2749.0,64.83166666666669,77.2,81.6,2152.4,79.9,846.4,599.0,2.4,93.0,61.8,53.0,39.1,51.5,93.8625,2.4194148201911125,-1.5542384674277245,4.0,133900.0,17739.0,0.132479462285288
1053,1.2012411347517729,43.6,2.3,-0.011658632525663239,1.0825948831834151,Herzogtum Lauenburg,7.7,29.9,6.2,349.0,2676.0,26.614166666666698,78.8,82.8,2211.6,83.8,1320.9,629.0,8.0,151.0,52.4,31.6,36.8,45.6,90.99285714285709,0.9755291016897335,0.09590002809080067,4.0,187138.0,22976.0,0.122775705629001
1054,1.3333333333333333,43.8,2.2,0.012908178720276843,1.05570923645175,Nordfriesland,7.3,22.4,7.0,75.0,2619.0,47.4483333333333,77.9,82.5,2194.7,81.1,740.5,696.0,1.8,78.0,63.5,44.9,37.0,54.3,92.67692307692309,2.045863736871625,-0.5137703606613342,4.0,163665.0,20922.0,0.127834295664925
1055,1.2144444444444442,46.1,2.1,-0.008728854647958428,1.0522740281413674,Ostholstein,8.5,24.6,6.8,149.0,2480.0,41.206666666666706,78.0,82.4,2020.8,82.3,1221.3,583.0,6.1,142.0,63.0,90.1,44.2,50.1,89.455,1.4834619507022606,-0.875336432581914,4.0,198413.0,28719.0,0.144743539989819
1056,1.2185402684563758,43.6,2.2,-0.02752966415709362,1.0345360787357636,Pinneberg,6.1,21.1,5.6,624.0,2864.0,22.235,78.8,83.1,2421.1,70.6,2133.0,794.0,9.1,458.0,50.0,32.0,37.0,44.2,90.28947368421049,-0.20123470921097295,1.322333298134843,2.0,296341.0,36302.0,0.12250076769667402
1057,1.2169254658385094,45.0,2.3,-0.003154246153768367,1.023170452032819,Plön,8.0,26.0,5.9,205.0,2610.0,22.998333333333303,79.3,82.9,1978.1,79.6,1243.7,622.0,2.4,117.0,63.8,17.7,34.1,48.2,92.7692307692308,1.0160852799994875,-0.41371277647707316,4.0,127676.0,17519.0,0.137214511732824
1058,1.2857142857142858,43.5,2.3,-0.006283259856097691,1.0585091407118572,Rendsburg-Eckernförde,7.4,33.9,5.7,213.0,2778.0,24.065,78.6,82.8,2173.6,83.3,1090.4,605.0,2.6,123.0,62.9,40.6,38.7,48.5,92.4,1.198905913050658,-0.3047725754295787,4.0,269364.0,34104.0,0.126609346460552
1059,1.7500000000000013,43.5,2.3,-0.0030646328820771013,1.1455143563930779,Schleswig-Flensburg,7.6,26.5,8.1,132.0,2565.0,25.696666666666697,78.4,82.3,2030.6,82.4,880.2,541.0,2.5,94.0,59.8,34.1,42.6,50.4,93.3944444444444,1.4362760098114717,-1.080087785575517,4.0,196025.0,25256.0,0.128840709093228
1060,1.2889473684210528,43.0,2.3,-0.021228784801781937,1.0809260937600251,Segeberg,6.7,22.8,5.1,391.0,2816.0,22.485,79.0,82.8,2381.4,83.6,1477.5,733.0,6.1,197.0,54.0,64.1,44.8,44.9,91.9266666666667,0.7883213454128348,0.8399704314203723,2.0,260665.0,31393.0,0.120434273876431
1061,1.7184444444444449,43.6,2.2,-0.017484912822777955,1.0441289338550577,Steinburg,8.6,42.0,6.1,246.0,2815.0,42.301666666666705,77.1,81.9,2213.9,82.0,1120.4,650.0,2.3,123.0,62.2,48.6,39.2,46.8,91.9,1.5589594456131137,-1.1079545472765864,4.0,130783.0,16227.0,0.12407575908183802
1062,1.3333333333333335,43.9,2.3,0.029946204877556573,1.0088327653933251,Stormarn,5.2,21.4,4.2,596.0,2873.0,17.5208333333333,79.6,83.3,2444.0,80.0,1791.4,901.0,9.3,309.0,57.9,48.3,46.2,45.6,91.23333333333339,0.17829512272275108,2.0668163351193924,2.0,230555.0,29079.0,0.126126087050812
2000,1.3847172619047619,41.9,1.9,-0.00980297936632205,0.986012746787828,"KS Hamburg, Freie und Hansesta",6.0,15.8,7.7,2043.0,3444.0,1.97666666666667,78.5,83.2,3103.9,31.3,3905.7,1156.0,7.6,2334.0,66.0,65.0,31.5,38.9,67.4,-5.053322767752559,2.8630640407734522,1.0,1706696.0,180301.0,0.105643301443256
3101,1.4749999999999994,43.0,1.9,-0.008900296466492067,1.058831267776,KS Braunschweig,5.5,31.9,7.7,497.0,3247.0,1.30666666666667,77.6,83.1,2675.9,49.8,2751.0,815.0,8.3,1293.0,56.3,80.6,34.7,43.8,68.8,-2.411740500639122,1.2900087888617262,3.0,242537.0,27134.0,0.111875713808615
3102,1.2903846153846155,44.6,2.1,-0.008648155501150055,1.0,"Salzgitter, Stadt",3.8,71.85,9.3,383.0,3785.0,1.505,76.2,81.4,3042.0,68.2,1542.0,795.0,3.8,442.0,65.7,46.8,28.1,46.0,75.6,-0.903680488339593,0.4649940044114389,2.0,98895.0,13056.0,0.132018807826483
