districtId,Minijob,Zahnarzt,Krankenhausbetten,Hausarzt_je_EW,Grundsicherung,Soziooekonomische_Lage,Breitband,Baulandpreise,Facharzt,Tanken,Bevoelkerung_Auslaender,Schulabg_Hochschulreife,Wanderungen,GrosseZentren,Nahversorgung,vorschule,Lebenserwartung_maennlich,Wohnflaeche,Lebenserwartung_weiblich,Bevoelkerungspotenzial,Schulabg_ohne,WissensintensiveIndustrien,ALQ_gemittelt,Steuerkraft,BIP,ambulantePflege,SuV_Anteil,stationaerePflege,Schulden,Pflegegeld,BeschaeftigteOhne,ALQ,Laendlichkeit,Einkuenfte,LuW_Anteil,Thuenen-Typologie,SuV_Veraenderung,BeschaeftigteAkademisch,Bevoelkerungsdichte,Apotheke,Pflegedienst,Ein_Zwei_Fam_Haeuser,Polizei,Bevoelkerung_insgesamt,Wohnungsleerstand,Hausarzt,Siedlungsdichte,Freiflaeche,Natuerliche_Bev_Entwicklung,Lohn,Grundschule,Krippenkinder,district_name
3405,21.2,4.74833333333333,87.8,71.5,34.5,,98.7,,7.88063278063962,3.93833333333333,4.5,,1.1,1.97333333333333,4.22666666666667,90.4,75.4,48,80.8,188,,6,12.6,528,40000,22,45.2,32.8,1314.5,45.2,11.2,12.3,,3031,48.7,4,10.5,9.3,707,4.47666666666667,5.59666666666667,,5.35,-1.8,,4.05666666666667,1561.9,59.6,-6.75,2356.3,3.33333333333333,17.7,SK Wilhelmshaven
5916,19.3,2.53833333333333,105.1,51.7,32.8,,99.6,179.8,4.43746962332928,2.58166666666667,13.2,36.1,4.6,6.81666666666667,2.175,95.2,75.3,40.3,81.1,1621,6.6,4.7,13.2,486,22500,20.2,77.7,27.2,4594.4,52.5,14.2,13.4,-3,3132,19.9,5,2.3,10.2,3007,2.49333333333333,2.895,179.8,4.2,-0.2,53.7,2.06,3870.9,33.3,-5.88,2611.2,1.83333333333333,22,SK Herne
3157,24.4,4.02666666666667,23.9,52.1,19.8,0.03,81.6,83.2,10.6504597868782,5.84833333333333,5.2,33.3,3.8,16.555,4.035,93.7,77.6,50.1,82.1,387,3.9,3.8,6.4,577,20700,20.7,17.9,33.8,1504.6,45.5,12.9,6.1,0.33,2800,79.3,4,,7.5,244,4.96666666666667,6.68666666666667,83.2,5.35,0.3,39.6,5.17,1362.8,83.8,,2150.1,,27.9,LK Peine
3451,23.8,6.38416666666667,67.6,59.2,20.5,-0.43,83.9,75.7,11.2262291809753,7.525,3.6,28.6,8,18.9158333333333,5.52666666666667,96.9,78.6,52.2,83.3,242,3.3,4,4.8,615,25000,21.7,17.1,29.8,796.9,48.5,11.4,4.6,0.72,2652,79.6,2,,6.4,165,6.31,7.86583333333333,75.7,7.56666666666667,1.7,19.8,6.2475,963,84.1,,2186.4,,29.6,LK Ammerland
1002,20,2.26583333333333,93.2,65,53.7,,100,194.7,5.20677163461539,2.8675,8.7,40.2,8.6,1.39083333333333,2.54583333333333,92,77.1,38.4,82.1,408,7.4,4.6,10.5,590,44100,24.5,54.1,34.4,2432.6,41.1,10.9,10.1,-1.53,3129,35.6,5,0.4,15.2,2049,2.45083333333333,4.28833333333333,194.7,2.91666666666667,2.3,25.7,2.34166666666667,3788.3,52.4,-0.6,2496.2,2.6,34.9,SK Kiel
1001,21.1,2.625,101.9,66.1,52.9,,99.7,105.6,5.11140193654718,2.63,7.9,,9.6,1.54666666666667,2.50166666666667,100.4,75.2,44.1,80.1,187,,3,11.5,619,38900,25.1,52.2,40.6,1488.6,34.3,12,10.5,,2867,32.5,1,1.5,10.7,1493,2.59833333333333,3.89833333333333,105.6,3.21666666666667,2.3,,2.255,2860.2,52.1,-2.73,2235,2.36666666666667,35.2,SK Flensburg
1003,18.2,4.01,80.2,62,54.1,,99,120.7,7.58885399618112,4.16666666666667,7.6,31.1,8.8,2.01333333333333,3.73666666666667,92.5,77.3,39.2,82.1,403,9.9,5.7,10.6,574,37400,15.3,36.8,47.3,3695.6,37.4,11.5,10.1,-1.06,2885,46.9,5,1,9.7,1001,3.835,4.265,120.7,3.83333333333333,1.8,29.3,3.54166666666667,2720.6,69.1,-4.22,2327.3,3.55,35,SK Lübeck
1004,19.1,3.04583333333333,87.4,55.4,42.4,,98.4,89.2,6.80745008680556,3.48833333333333,7.1,,5.4,1.58833333333333,2.835,95.2,76.3,42.5,81,306,,5.6,11.1,600,36900,19.4,50.1,39.9,2106.5,40.7,11.4,10.9,,2699,46.8,1,1.6,7.4,1083,3.265,4.29166666666667,89.2,2.86666666666667,0.5,,3.30833333333333,2160.7,55.8,-4.18,2295.7,2.95,32.8,SK Neumünster
1051,24.9,7.31333333333333,53,61.8,19.5,0.64,17.9,37.1,16.4658705280742,7.65333333333333,3.5,23.2,2.4,64.8316666666667,6.31833333333333,89.3,77.2,51.5,81.6,111,9.8,6.3,8,599,26500,20.1,11,39.1,1332.1,40.9,11.2,7.4,0.88,2749,79.9,1,,6.2,93,7.78333333333333,8.05333333333333,37.1,7.46666666666667,-0.6,31.5,6.16333333333333,846.4,89.6,,2152.4,,20.1,LK Dithmarschen
3252,20.4,5.50833333333333,75,69,27.6,0.47,53.5,57.7,12.3840432140818,6.59583333333333,7.2,32.8,1.4,40.9058333333333,4.87416666666667,98.5,76.9,51.9,82.1,310,6.5,13.5,8.3,622,31600,25.3,14.3,33.3,1756.4,41.5,11.2,7.9,0.38,2970,83.9,4,,9.5,186,5.68166666666667,9.82583333333333,57.7,6.36666666666667,-1.1,60.7,5.0475,1302.8,87.3,,2372.5,,26.7,LK Hameln-Pyrmont
