districtId,district_name,Schulabg_ohne_Abschluss,Schulabg_Hochschulreife,Wohnungsleerstand,ALQ_gemittelt,Bev_Potenzial,Einkommen,Distanz_grosse_Zentren,Lebenserwartung_Maenner,Lebenserwartung_Frauen,Lohn,Landw_Forstw_Anteil,Siedlungsdichte,Steuerkraft,Bev_Wanderung,ambulante_Pflege,Baulandpreise,Beschaeft_ohne_Berufsabschluss,Auslaender_Anteil,Bev_Entwicklung,Bev_Dichte,Breitband,Distanz_Grundschulen,Grundsicherung_Anteil,Hausarzt_pro_EW,Krankenhausbetten,Krippen_Quote,Pflegegeld,stationaere_Pflege,Grundschule_Quote,Wohnflaeche,Ein_Zwei_Fam_Haeuser,Nat_Bev_Entw,Strassen_Verkehr_Veraend,Dist_Apotheke,Beschaeft_akademisch,BIP_2014,Dist_Facharzt,Freiflaeche,Dist_Hausarzt,Minijob_Anteil,Dist_Lebensmittel,Dist_Pflegedient,Dist_Polizei,Kommunale_Schulden,Strassen_Verkehr_Anteil,Dist_Tankstellen,Wissensintensive_Industrien,Dist_Zahnarzt
1001,"Flensburg, Stadt",7.6,30.1,26.5,11.5,187,2867,1.54666666666667,75.2,80.1,2235,32.5,2860.2,619,9.6,25.1,105.6,12,7.9,2.3,1493,99.7,2.36666666666667,52.9,66.1,101.9,35.2,34.3,40.6,100.4,44.1,71.9,-2.73,1.5,2.59833333333333,10.7,38900,5.11140193654718,52.1,2.255,21.1,2.50166666666667,3.89833333333333,3.21666666666667,1488.6,52.2,2.63,3,2.625
1002,KS Kiel,7.4,40.2,25.7,10.5,408,3129,1.39083333333333,77.1,82.1,2496.2,35.6,3788.3,590,8.6,24.5,194.7,10.9,8.7,2.3,2049,100,2.6,53.7,65,93.2,34.9,41.1,34.4,92,38.4,67.1,-0.6,0.4,2.45083333333333,15.2,44100,5.20677163461539,52.4,2.34166666666667,20,2.54583333333333,4.28833333333333,2.91666666666667,2432.6,54.1,2.8675,4.6,2.26583333333333
1003,KS Lübeck,9.9,31.1,29.3,10.6,403,2885,2.01333333333333,77.3,82.1,2327.3,46.9,2720.6,574,8.8,15.3,120.7,11.5,7.6,1.8,1001,99,3.55,54.1,62,80.2,35,37.4,47.3,92.5,39.2,75.5,-4.22,1,3.835,9.7,37400,7.58885399618112,69.1,3.54166666666667,18.2,3.73666666666667,4.265,3.83333333333333,3695.6,36.8,4.16666666666667,5.7,4.01
1004,"Neumünster, Stadt",7.4,30,33.9,11.1,306,2699,1.58833333333333,76.3,81,2295.7,46.8,2160.7,600,5.4,19.4,89.2,11.4,7.1,0.5,1083,98.4,2.95,42.4,55.4,87.4,32.8,40.7,39.9,95.2,42.5,81.7,-4.18,1.6,3.265,7.4,36900,6.80745008680556,55.8,3.30833333333333,19.1,2.835,4.29166666666667,2.86666666666667,2106.5,50.1,3.48833333333333,5.6,3.04583333333333
1051,Dithmarschen,9.8,23.2,31.5,8,111,2749,64.8316666666667,77.2,81.6,2152.4,79.9,846.4,599,2.4,20.1,37.1,11.2,3.5,-0.6,93,17.9,6.93333333333333,19.5,61.8,53,20.1,40.9,39.1,89.3,51.5,93.8625,-5.845,3.3,7.78333333333333,6.2,26500,16.4658705280742,89.6,6.16333333333333,24.9,6.31833333333333,8.05333333333333,7.46666666666667,1332.1,11,7.65333333333333,6.3,7.31333333333333
1053,Herzogtum Lauenburg,7.7,25,29.9,6.2,349,2676,26.6141666666667,78.8,82.8,2211.6,83.8,1320.9,629,8,21.9,107.9,10.2,5.2,1.8,151,95.9,6.46666666666667,20.7,52.4,31.6,32.7,41.2,36.8,91,45.6,90.9928571428571,-2.79642857142857,2.58666666666667,7.75333333333333,8.5,20400,13.5093826494989,89.5,6.67833333333333,24,6.275,7.70583333333333,6.46666666666667,979.5,11.4,7.23166666666667,7.2,7.365
1054,Nordfriesland,7.3,21.7,22.4,7,75,2619,47.4483333333333,77.9,82.5,2194.7,81.1,740.5,696,1.8,24.3,129.8,10.3,4.3,-0.5,78,12.5,6.91666666666667,18.3,63.5,44.9,26.7,38.6,37,95.7,54.3,92.6769230769231,-4.52538461538462,3.79230769230769,8.54333333333333,5.9,31600,27.392816130991,90.2,7.17833333333333,24.3,6.33833333333333,9.265,9.51666666666667,1522.4,10.5,8.21666666666667,1,7.70666666666667
1055,Ostholstein,8.5,25.7,24.6,6.8,149,2480,41.2066666666667,78,82.4,2020.8,82.3,1221.3,583,6.1,17.7,110.1,11.2,3.6,0.2,142,47.5,6.98333333333333,22.1,63,90.1,30.3,38.1,44.2,93.1,50.1,89.455,-6.719,3.28,6.85166666666667,6.4,22600,13.5937109921395,90,5.88666666666667,23.9,6.75166666666667,9.46666666666667,6.26666666666667,1002.5,11.7,7.88916666666667,1.8,6.36
1056,Pinneberg,6.1,35.8,21.1,5.6,624,2864,22.235,78.8,83.1,2421.1,70.6,2133,794,9.1,23.5,212.4,11.8,7.6,2.3,458,94.7,3.75,23.4,50,32,28.9,39.5,37,92.5,44.2,90.2894736842105,-2.79,2.86315789473684,5.50333333333333,9.5,26200,10.020216784349,81,5.03166666666667,24.2,4.88333333333333,5.73333333333333,5.21666666666667,1679.2,21.5,5.985,8.8,5.275
1057,Plön,8,22.7,26,5.9,205,2610,22.9983333333333,79.3,82.9,1978.1,79.6,1243.7,622,2.4,19.7,122.3,10.8,2.7,-0.3,117,11.8,6.01666666666667,17.9,63.8,17.7,33.9,46.2,34.1,93.2,48.2,92.7692307692308,-4.88692307692308,2.33636363636364,7.91166666666667,7.7,19000,13.1397317243817,91.8,6.165,30,6.42166666666667,9.14333333333333,6.26666666666667,1286.7,9.4,7.90166666666667,2.1,7.30333333333333
