districtId,district_name,SES_highschool_dropouts,SES_residence_vacancies,SES_unemployment,RUR_surrounding_pop,SES_average_income,RUR_distance_to_urban_centers,SES_male_life_expectancy,SES_female_life_expectancy,SES_average_salary,RUR_area_share_farms_forests,RUR_settlement_density,SES_communal_tax_revenue,SES_net_migration,Baulandpreise,population_density,primary_care_capacity,hospital_capacity,share_of_nursing_home_care,average_living_area,RUR_share_of_1_2_family_homes,total_population,population_60_plus,average_age,average_household_size,share_female
1001,"Flensburg, Stadt",7.6,26.5,11.5,187.0,2867.0,1.5466666666666697,75.2,80.1,2235.0,32.5,2860.2,619,9.6,105.6,1493,66.1,101.9,40.6,44.1,71.9,82258,9249,42.7,1.8,0.5072333390065404
1002,KS Kiel,7.4,25.7,10.5,408.0,3129.0,1.3908333333333303,77.1,82.1,2496.2,35.6,3788.3,590,8.6,194.7,2049,65.0,93.2,34.4,38.4,67.1,235782,24082,41.3,1.9,0.518601928900425
1003,KS Lübeck,9.9,29.3,10.6,403.0,2885.0,2.01333333333333,77.3,82.1,2327.3,46.9,2720.6,574,8.8,120.7,1001,62.0,80.2,47.3,39.2,75.5,210305,25790,44.2,1.9,0.5252989705427831
1004,"Neumünster, Stadt",7.4,33.9,11.1,306.0,2699.0,1.58833333333333,76.3,81.0,2295.7,46.8,2160.7,600,5.4,89.2,1083,55.4,87.4,39.9,42.5,81.7,77249,9497,43.5,2.0,0.5118383409493974
1051,Dithmarschen,9.8,31.5,8.0,111.0,2749.0,64.83166666666669,77.2,81.6,2152.4,79.9,846.4,599,2.4,37.1,93,61.8,53.0,39.1,51.5,93.8625,133900,17739,44.1,2.2,0.5106198655713219
1053,Herzogtum Lauenburg,7.7,29.9,6.2,349.0,2676.0,26.614166666666698,78.8,82.8,2211.6,83.8,1320.9,629,8.0,107.9,151,52.4,31.6,36.8,45.6,90.99285714285709,187138,22976,43.6,2.3,0.513856084814415
1054,Nordfriesland,7.3,22.4,7.0,75.0,2619.0,47.4483333333333,77.9,82.5,2194.7,81.1,740.5,696,1.8,129.8,78,63.5,44.9,37.0,54.3,92.67692307692309,163665,20922,43.8,2.2,0.5140011609079522
1055,Ostholstein,8.5,24.6,6.8,149.0,2480.0,41.206666666666706,78.0,82.4,2020.8,82.3,1221.3,583,6.1,110.1,142,63.0,90.1,44.2,50.1,89.455,198413,28719,46.1,2.1,0.5198651298050027
1056,Pinneberg,6.1,21.1,5.6,624.0,2864.0,22.235,78.8,83.1,2421.1,70.6,2133.0,794,9.1,212.4,458,50.0,32.0,37.0,44.2,90.28947368421049,296341,36302,43.6,2.2,0.5139180876085321
1057,Plön,8.0,26.0,5.9,205.0,2610.0,22.998333333333303,79.3,82.9,1978.1,79.6,1243.7,622,2.4,122.3,117,63.8,17.7,34.1,48.2,92.7692307692308,127676,17519,45.0,2.3,0.5168473323099094
